,tsne1,tsne2,tsne3,class_encode,class,cluster
0,4.8518834,-1.6464869,6.786127,4,Home Furnishing,1
1,7.9734216,2.85745,1.6123312,0,Baby Care,3
2,7.8729415,2.1987977,1.5495203,0,Baby Care,3
3,9.519321,-4.128816,1.5570288,4,Home Furnishing,1
4,10.6120615,-4.7909007,2.5307617,4,Home Furnishing,1
5,1.4272076,-0.5826929,17.85517,6,Watches,2
6,0.8781271,-0.99163115,21.225805,6,Watches,2
7,1.2184892,-3.7272885,19.496828,6,Watches,2
8,-2.028323,-2.1735716,14.860428,6,Watches,2
9,-2.2085822,-2.1473794,18.00778,6,Watches,2
10,0.5248246,-4.8961835,17.533531,6,Watches,2
11,-1.4921991,-1.335364,18.272915,6,Watches,2
12,-0.41548213,-1.0101465,19.263536,6,Watches,2
13,-1.4349794,-0.62077606,18.596066,6,Watches,2
14,-0.020999737,-0.07341966,15.597683,6,Watches,2
15,0.48040178,-3.5507596,19.386015,6,Watches,2
16,-0.54652435,1.781817,16.259422,6,Watches,2
17,0.4071855,-0.06221344,15.456065,6,Watches,2
18,-0.37753436,-0.7837909,18.16803,6,Watches,2
19,-0.19345205,2.225097,15.161219,6,Watches,2
20,0.008624511,-2.9261837,15.661468,6,Watches,2
21,0.7013919,1.1633998,17.73104,6,Watches,2
22,-0.4894468,-0.69853973,18.278381,6,Watches,2
23,0.015143227,-2.9179492,15.638836,6,Watches,2
24,-0.4201678,-2.3357086,19.337183,6,Watches,2
25,-1.8730066,-2.140967,14.810488,6,Watches,2
26,2.1462903,0.54785746,17.131622,6,Watches,2
27,-0.55582154,1.9932593,16.440228,6,Watches,2
28,1.5097581,-1.5670654,14.57848,6,Watches,2
29,-0.35171303,0.67455477,17.918198,6,Watches,2
30,1.6444142,1.4995292,14.815153,6,Watches,2
31,-0.9228296,-2.385853,19.231777,6,Watches,2
32,0.64956844,-1.5733699,20.208193,6,Watches,2
33,10.221287,-6.684172,1.8626648,4,Home Furnishing,1
34,10.222326,-6.810643,1.2331234,4,Home Furnishing,1
35,6.461324,9.122704,2.806708,4,Home Furnishing,3
36,2.4350584,3.7766807,-4.131,3,Home Decor & Festive Needs,0
37,5.2673507,-11.73364,-3.8711247,5,Kitchen & Dining,1
38,6.2274504,-7.364484,-2.5185428,5,Kitchen & Dining,1
39,9.769353,-7.8258014,2.6298614,4,Home Furnishing,1
40,16.12521,-1.2262421,-5.680147,0,Baby Care,4
41,9.634772,-8.26418,2.4141781,4,Home Furnishing,1
42,16.505716,-1.2820681,-5.4850044,0,Baby Care,4
43,6.892085,-0.86412543,-4.393304,1,Beauty and Personal Care,1
44,5.0474205,-12.968834,-9.498521,5,Kitchen & Dining,6
45,5.0474205,-12.968834,-9.498521,5,Kitchen & Dining,6
46,5.0474205,-12.968834,-9.498521,5,Kitchen & Dining,6
47,-2.247532,-4.660213,1.568493,2,Computers,1
48,5.0474205,-12.968834,-9.498521,5,Kitchen & Dining,6
49,6.785533,-0.8325305,-4.3444653,1,Beauty and Personal Care,1
50,5.0474205,-12.968834,-9.498521,5,Kitchen & Dining,6
51,-2.78909,-5.4886446,2.8445086,2,Computers,1
52,2.7329757,-7.7293034,-3.9234545,5,Kitchen & Dining,1
53,-0.6530627,-4.5679455,5.431393,2,Computers,1
54,-0.6533253,-4.5682,5.4315305,2,Computers,1
55,-0.6533253,-4.5682,5.4315305,2,Computers,1
56,-2.0274024,-0.22391713,-8.868003,1,Beauty and Personal Care,0
57,3.1398938,0.20292456,-9.335707,1,Beauty and Personal Care,0
58,3.3514044,-0.03325837,-9.649529,1,Beauty and Personal Care,0
59,3.1765082,1.21725,-7.5903616,1,Beauty and Personal Care,0
60,2.645498,1.120562,-7.296997,1,Beauty and Personal Care,0
61,3.1398938,0.20292456,-9.335707,1,Beauty and Personal Care,0
62,3.111243,-0.98923016,-7.462934,1,Beauty and Personal Care,0
63,6.4265785,-3.4965534,-1.3254011,0,Baby Care,1
64,2.2553227,-11.12049,-8.855636,5,Kitchen & Dining,6
65,2.5595243,-11.385329,-9.1792145,5,Kitchen & Dining,6
66,4.659814,-5.447506,-1.1581204,0,Baby Care,1
67,5.92195,-7.5534577,0.7537216,4,Home Furnishing,1
68,3.292123,-5.5999656,-7.1199617,5,Kitchen & Dining,1
69,3.2756336,-5.585613,-7.1730356,5,Kitchen & Dining,1
70,3.3957777,-9.532915,-4.1718464,5,Kitchen & Dining,1
71,5.921969,-7.55285,0.75386494,4,Home Furnishing,1
72,4.988421,-5.4518714,-5.093652,5,Kitchen & Dining,1
73,19.756113,-2.0531135,-2.680801,0,Baby Care,4
74,19.928743,-2.402913,-3.2510226,0,Baby Care,4
75,19.666155,-2.2866788,-2.7841902,0,Baby Care,4
76,-0.60614336,-2.7653198,-7.492964,1,Beauty and Personal Care,0
77,3.224148,-0.6175444,-5.203455,1,Beauty and Personal Care,0
78,10.744772,-5.3985305,2.6186764,4,Home Furnishing,1
79,17.898712,-0.33786368,-1.7077123,0,Baby Care,4
80,3.7842956,-8.060333,0.6191504,3,Home Decor & Festive Needs,1
81,2.131233,-11.204309,0.10993512,3,Home Decor & Festive Needs,1
82,3.7136059,-4.145113,0.027009847,0,Baby Care,1
83,19.119762,-1.9105608,0.3821982,0,Baby Care,4
84,3.9280815,-10.049158,0.37818828,3,Home Decor & Festive Needs,1
85,10.00937,-6.932197,-6.2560787,3,Home Decor & Festive Needs,1
86,3.4644206,-7.8320227,-1.8609546,5,Kitchen & Dining,1
87,-1.1781645,-2.6892846,-0.562843,2,Computers,1
88,7.9644203,-9.256883,0.5717321,4,Home Furnishing,1
89,-12.205408,-4.1588936,-5.2670574,3,Home Decor & Festive Needs,5
90,-17.490913,-0.291324,-5.3098187,3,Home Decor & Festive Needs,5
91,-13.749604,0.11643333,-4.577377,3,Home Decor & Festive Needs,5
92,-17.067453,-0.95458555,-5.565206,3,Home Decor & Festive Needs,5
93,-17.841158,-0.74172676,-5.7388783,3,Home Decor & Festive Needs,5
94,-13.453198,0.83720374,-6.66409,3,Home Decor & Festive Needs,5
95,-17.117893,-0.72020966,-3.8478124,3,Home Decor & Festive Needs,5
96,-13.109384,0.5454043,-2.2267632,3,Home Decor & Festive Needs,5
97,-15.178139,0.39327976,0.38911477,3,Home Decor & Festive Needs,5
98,-2.7172227,-0.40881243,-8.432841,1,Beauty and Personal Care,0
99,-2.24719,-0.86157197,-8.5554085,1,Beauty and Personal Care,0
100,-2.113812,-0.0099852625,-8.367294,1,Beauty and Personal Care,0
101,-14.112435,-0.5067828,0.011595622,3,Home Decor & Festive Needs,5
102,1.2958413,-12.940138,-0.91818523,3,Home Decor & Festive Needs,1
103,-0.13791153,16.050217,5.1146407,4,Home Furnishing,3
104,-0.72598857,15.587654,5.398625,4,Home Furnishing,3
105,1.017901,11.903951,3.909988,4,Home Furnishing,3
106,-1.5818622,3.2926476,-5.9479403,0,Baby Care,0
107,-3.4382806,13.220056,4.0258965,4,Home Furnishing,3
108,-0.13791153,16.050217,5.1146407,4,Home Furnishing,3
109,5.4431,-6.3338737,1.371854,4,Home Furnishing,1
110,16.468609,1.6339144,-4.264969,0,Baby Care,4
111,5.9935308,-12.585666,0.8617526,3,Home Decor & Festive Needs,1
112,19.84751,2.2638187,1.3944165,0,Baby Care,4
113,4.9397635,-5.494733,-5.0263853,5,Kitchen & Dining,1
114,4.7611012,7.2204113,0.29036582,0,Baby Care,3
115,-0.23004426,-1.5922035,-1.6469897,2,Computers,1
116,-15.696126,0.25064543,-0.7250254,3,Home Decor & Festive Needs,5
117,14.066976,1.7595855,-1.1586264,0,Baby Care,4
118,-17.919167,-1.4473491,-5.7585425,3,Home Decor & Festive Needs,5
119,2.9741383,-5.4598413,0.93677264,2,Computers,1
120,9.985828,-9.177479,2.3794513,4,Home Furnishing,1
121,16.18887,0.35431644,-0.27615187,0,Baby Care,4
122,1.5533541,-2.631141,1.303318,2,Computers,1
123,2.7021968,-9.529217,0.9154128,3,Home Decor & Festive Needs,1
124,-0.3901608,-4.7275915,-2.135768,1,Beauty and Personal Care,1
125,-0.70591974,6.5551863,-8.405732,1,Beauty and Personal Care,0
126,-0.60342586,6.6207986,-8.983787,1,Beauty and Personal Care,0
127,-0.48554912,6.6130586,-9.34558,1,Beauty and Personal Care,0
128,-10.603454,-0.59045357,-2.1115594,3,Home Decor & Festive Needs,5
129,3.8206675,-11.404124,-17.78251,5,Kitchen & Dining,6
130,-4.6719766,-15.831401,-18.252512,5,Kitchen & Dining,6
131,3.5520222,-11.4905,-19.060278,5,Kitchen & Dining,6
132,-0.38478646,-9.362769,-15.524469,5,Kitchen & Dining,6
133,-3.6484697,-15.353298,-18.551214,5,Kitchen & Dining,6
134,-0.8139395,-8.637243,-13.638217,5,Kitchen & Dining,6
135,4.0998096,-12.705489,-17.928366,5,Kitchen & Dining,6
136,-4.677483,-16.63627,-17.408121,5,Kitchen & Dining,6
137,-1.3342316,-8.8978615,-14.512799,5,Kitchen & Dining,6
138,-2.5359032,-17.372778,-17.222437,5,Kitchen & Dining,6
139,2.690264,-12.196937,-18.772282,5,Kitchen & Dining,6
140,-2.4803786,-15.648787,-18.566168,5,Kitchen & Dining,6
141,-3.1604104,-15.91692,-19.593266,5,Kitchen & Dining,6
142,-3.3370836,-16.201307,-17.480728,5,Kitchen & Dining,6
143,-0.15014021,-8.295443,-14.453667,5,Kitchen & Dining,6
144,-4.1701555,-17.805992,-19.258759,5,Kitchen & Dining,6
145,0.7377188,-10.073077,-14.716661,5,Kitchen & Dining,6
146,1.1497784,-15.402372,-12.386236,5,Kitchen & Dining,6
147,-3.3082535,-17.963161,-18.218481,5,Kitchen & Dining,6
148,-4.2879124,-16.282215,-19.43598,5,Kitchen & Dining,6
149,-1.1727587,-10.748112,-13.318732,5,Kitchen & Dining,6
150,0.031026626,-14.608715,-13.694892,5,Kitchen & Dining,6
151,3.5996432,-12.649942,-18.901493,5,Kitchen & Dining,6
152,-0.07124664,-10.376356,-15.35916,5,Kitchen & Dining,6
153,-3.3082535,-17.963161,-18.218481,5,Kitchen & Dining,6
154,-2.7989805,-18.042412,-19.6229,5,Kitchen & Dining,6
155,1.1497784,-15.402372,-12.386236,5,Kitchen & Dining,6
156,0.8798366,-15.297932,-13.691538,5,Kitchen & Dining,6
157,3.8206675,-11.404124,-17.78251,5,Kitchen & Dining,6
158,-0.57004964,-9.743938,-13.45236,5,Kitchen & Dining,6
159,2.874991,-11.15195,-18.35433,5,Kitchen & Dining,6
160,-3.5254362,-16.778843,-18.63749,5,Kitchen & Dining,6
161,-1.6721265,-9.876633,-14.046684,5,Kitchen & Dining,6
162,4.3758464,-11.911557,-18.612226,5,Kitchen & Dining,6
163,0.0007604732,-14.535608,-12.329578,5,Kitchen & Dining,6
164,-2.3853898,-16.73392,-19.287712,5,Kitchen & Dining,6
165,-2.085957,-17.53757,-18.527956,5,Kitchen & Dining,6
166,0.46002355,-9.1947,-13.647622,5,Kitchen & Dining,6
167,-1.6467035,-9.268564,-13.1231985,5,Kitchen & Dining,6
168,0.0007604732,-14.535608,-12.329578,5,Kitchen & Dining,6
169,2.6014855,-11.992391,-17.726303,5,Kitchen & Dining,6
170,3.417198,-12.367012,-17.23536,5,Kitchen & Dining,6
171,-0.6020412,-9.685361,-14.412266,5,Kitchen & Dining,6
172,-3.3370836,-16.201307,-17.480728,5,Kitchen & Dining,6
173,-4.987475,-17.013824,-18.800846,5,Kitchen & Dining,6
174,0.68841654,-8.958644,-15.1059065,5,Kitchen & Dining,6
175,0.37326568,-10.232398,-13.355371,5,Kitchen & Dining,6
176,1.1497784,-15.402372,-12.386236,5,Kitchen & Dining,6
177,-0.0601828,-15.7473345,-13.024408,5,Kitchen & Dining,6
178,-0.18079689,-10.786473,-13.995637,5,Kitchen & Dining,6
179,-3.4910605,-17.094944,-20.093916,5,Kitchen & Dining,6
180,0.0007604732,-14.535608,-12.329578,5,Kitchen & Dining,6
181,1.1865702,-14.153208,-13.07253,5,Kitchen & Dining,6
182,0.0007604732,-14.535608,-12.329578,5,Kitchen & Dining,6
183,-4.6435966,-17.870874,-17.977203,5,Kitchen & Dining,6
184,-0.27580702,-8.993573,-12.558312,5,Kitchen & Dining,6
185,1.1865702,-14.153208,-13.07253,5,Kitchen & Dining,6
186,-3.7778895,-17.450644,-17.023909,5,Kitchen & Dining,6
187,3.0376363,-12.915748,-18.086542,5,Kitchen & Dining,6
188,-0.76886696,-10.345135,-12.162358,5,Kitchen & Dining,6
189,-2.0180109,-16.481733,-17.958073,5,Kitchen & Dining,6
190,-1.9256066,-9.794575,-15.3753605,5,Kitchen & Dining,6
191,-1.1776165,-10.883091,-14.638861,5,Kitchen & Dining,6
192,-3.3966177,-2.2949398,-16.8185,5,Kitchen & Dining,6
193,-14.693244,3.4168947,-4.833854,3,Home Decor & Festive Needs,5
194,-12.829632,0.75760114,-6.002645,3,Home Decor & Festive Needs,5
195,-14.985708,2.375091,-4.7246766,3,Home Decor & Festive Needs,5
196,-14.597203,-4.2024865,-8.212358,3,Home Decor & Festive Needs,5
197,-2.7867563,-3.0767734,-16.870111,5,Kitchen & Dining,6
198,-14.571981,-5.0432277,-6.7008715,3,Home Decor & Festive Needs,5
199,-3.405043,-3.577126,-17.791317,5,Kitchen & Dining,6
200,-11.558943,-4.0589886,-8.2705,3,Home Decor & Festive Needs,5
201,-15.155548,0.28142557,-11.56127,3,Home Decor & Festive Needs,5
202,13.882719,1.2783839,-0.4435202,0,Baby Care,4
203,-13.274231,-0.9142006,-4.950444,3,Home Decor & Festive Needs,5
204,-3.5268426,-4.574592,-16.51647,5,Kitchen & Dining,6
205,-14.377472,-2.6281724,-5.021657,3,Home Decor & Festive Needs,5
206,-10.010518,0.01430877,-10.445322,3,Home Decor & Festive Needs,5
207,-11.479028,-2.424346,-8.694489,3,Home Decor & Festive Needs,5
208,-13.610204,-4.0300922,-8.11869,3,Home Decor & Festive Needs,5
209,-12.697421,-1.5958074,-4.401791,3,Home Decor & Festive Needs,5
210,-16.332401,0.09918706,-11.894971,3,Home Decor & Festive Needs,5
211,-15.720414,-2.2868867,-11.909394,3,Home Decor & Festive Needs,5
212,-10.009712,0.015231856,-10.445421,3,Home Decor & Festive Needs,5
213,-14.631363,-4.0980325,-8.310491,3,Home Decor & Festive Needs,5
214,-14.64237,-4.2618985,-4.7472672,3,Home Decor & Festive Needs,5
215,-2.1799645,-2.813474,-18.000172,5,Kitchen & Dining,6
216,-3.6747568,-3.7402833,-16.275047,5,Kitchen & Dining,6
217,-14.445086,-0.651529,-5.4403086,3,Home Decor & Festive Needs,5
218,-3.5490103,-4.3438797,-15.934916,5,Kitchen & Dining,6
219,-12.672889,-4.641524,-6.7078815,3,Home Decor & Festive Needs,5
220,14.983169,-0.057590764,-0.18685237,0,Baby Care,4
221,-14.974674,2.3180363,-5.546925,3,Home Decor & Festive Needs,5
222,-12.686377,-5.368147,-5.79019,3,Home Decor & Festive Needs,5
223,-3.6265018,-3.0547724,-17.326319,5,Kitchen & Dining,6
224,-16.306662,0.07454187,-11.437616,3,Home Decor & Festive Needs,5
225,-14.758508,-1.3648634,-11.793834,3,Home Decor & Festive Needs,5
226,-12.886186,-2.3813584,-5.2664137,3,Home Decor & Festive Needs,5
227,-14.53357,-0.7087085,-7.025323,3,Home Decor & Festive Needs,5
228,-15.17351,0.19264759,-11.242377,3,Home Decor & Festive Needs,5
229,-13.535297,-2.4144075,-6.73198,3,Home Decor & Festive Needs,5
230,-13.008243,-5.5616612,-8.38373,3,Home Decor & Festive Needs,5
231,-16.041267,-0.9928256,-12.0529375,3,Home Decor & Festive Needs,5
232,-13.23533,-5.2968907,-8.120708,3,Home Decor & Festive Needs,5
233,-12.129269,-0.2404588,-5.014936,3,Home Decor & Festive Needs,5
234,-7.4919086,-7.481418,-13.6615305,5,Kitchen & Dining,6
235,-2.8186939,-3.7168868,-17.220816,5,Kitchen & Dining,6
236,-11.426425,-4.038727,-8.2309885,3,Home Decor & Festive Needs,5
237,-15.735966,-0.549803,-10.830983,3,Home Decor & Festive Needs,5
238,-7.608582,-7.157491,-11.966976,5,Kitchen & Dining,6
239,-13.08459,-4.6461463,-5.465798,3,Home Decor & Festive Needs,5
240,-6.3558683,-8.717831,-12.966454,5,Kitchen & Dining,6
241,-8.1763315,-8.261429,-13.039807,5,Kitchen & Dining,6
242,-6.46153,-10.343222,-11.679087,5,Kitchen & Dining,6
243,-5.7304683,-7.5951886,-11.717277,5,Kitchen & Dining,6
244,-6.7370396,-8.706996,-9.650152,5,Kitchen & Dining,6
245,-6.0592566,-8.890552,-11.624637,5,Kitchen & Dining,6
246,-6.7886205,-7.7061853,-12.565964,5,Kitchen & Dining,6
247,-8.282678,-6.6262274,-13.849321,5,Kitchen & Dining,6
248,-13.14181,-0.577957,-6.853888,3,Home Decor & Festive Needs,5
249,-8.430139,-7.1122165,-13.456039,5,Kitchen & Dining,6
250,-10.7729435,-0.26333517,-3.6823647,3,Home Decor & Festive Needs,5
251,-5.5923114,-8.756176,-12.15622,5,Kitchen & Dining,6
252,-6.436051,-7.0644345,-11.357008,5,Kitchen & Dining,6
253,-7.7534738,-8.071422,-11.570134,5,Kitchen & Dining,6
254,-13.056211,-0.022876758,-8.409001,3,Home Decor & Festive Needs,5
255,-6.665296,-6.67993,-12.333732,5,Kitchen & Dining,6
256,-13.320785,-5.218558,-4.554578,3,Home Decor & Festive Needs,5
257,-16.406588,-0.8450356,-5.8225026,3,Home Decor & Festive Needs,5
258,-11.923086,-0.3337576,-6.8865976,3,Home Decor & Festive Needs,5
259,-6.6785264,-7.927769,-11.498272,5,Kitchen & Dining,6
260,-12.530474,-1.1698389,-5.324415,3,Home Decor & Festive Needs,5
261,-7.915138,-9.028143,-9.903855,5,Kitchen & Dining,6
262,-11.793311,-1.7779363,-6.0981884,3,Home Decor & Festive Needs,5
263,-14.3484745,3.2455583,-5.4255104,3,Home Decor & Festive Needs,5
264,-15.752919,3.0971293,-3.7771914,3,Home Decor & Festive Needs,5
265,-14.902974,-1.6396097,-12.713826,3,Home Decor & Festive Needs,5
266,-6.929751,-7.8391123,-9.621894,5,Kitchen & Dining,6
267,-5.9347806,-8.612539,-9.719945,5,Kitchen & Dining,6
268,-4.257596,-4.1178775,-16.606352,5,Kitchen & Dining,6
269,-14.53357,-0.7087085,-7.025323,3,Home Decor & Festive Needs,5
270,-11.569234,-0.21523438,-5.773425,3,Home Decor & Festive Needs,5
271,-14.19545,2.8690307,-4.727971,3,Home Decor & Festive Needs,5
272,-11.068697,0.14120127,-6.4406757,3,Home Decor & Festive Needs,5
273,-6.2487335,-9.524642,-9.71575,5,Kitchen & Dining,6
274,-6.0002804,-7.453099,-12.776505,5,Kitchen & Dining,6
275,21.592033,-0.23125531,-0.17958829,0,Baby Care,4
276,6.848035,6.6287484,15.619997,6,Watches,2
277,4.4689016,6.781068,15.436372,6,Watches,2
278,4.853946,7.1078653,14.651326,6,Watches,2
279,5.381842,7.427736,15.6872835,6,Watches,2
280,4.44411,7.2901,15.546334,6,Watches,2
281,8.929301,-12.363677,-2.1607401,4,Home Furnishing,1
282,16.04968,-0.21189563,-0.7886579,0,Baby Care,4
283,5.6457086,6.67051,16.450392,6,Watches,2
284,1.3152114,-15.605931,0.6299195,3,Home Decor & Festive Needs,1
285,4.44411,7.2901,15.546334,6,Watches,2
286,6.012657,7.456103,14.646047,6,Watches,2
287,9.009025,-12.093237,-2.1874218,4,Home Furnishing,1
288,17.296324,-0.106132925,-2.0652661,0,Baby Care,4
289,1.3135967,-15.605789,0.62890303,3,Home Decor & Festive Needs,1
290,5.992854,-12.578543,0.8668698,3,Home Decor & Festive Needs,1
291,21.035093,3.5495625,-5.3862987,0,Baby Care,4
292,19.280941,2.499435,-5.847841,0,Baby Care,4
293,19.56138,4.6220503,-5.7711267,0,Baby Care,4
294,20.27296,2.024133,-5.3651967,0,Baby Care,4
295,4.5058994,-6.189804,-3.1598434,5,Kitchen & Dining,1
296,-1.881435,-3.856662,-0.69728017,2,Computers,1
297,22.180567,-0.59064424,0.9571652,0,Baby Care,4
298,4.06332,-7.125535,-0.7205915,5,Kitchen & Dining,1
299,-12.913788,-1.2812011,-6.36395,3,Home Decor & Festive Needs,5
300,-4.1504345,-7.1491485,-11.697655,5,Kitchen & Dining,6
301,1.6292677,6.7991652,-6.8094916,1,Beauty and Personal Care,0
302,-13.583421,-1.402637,-5.5094204,3,Home Decor & Festive Needs,5
303,-13.59961,0.17521188,-5.946074,3,Home Decor & Festive Needs,5
304,-11.822931,-0.85391426,-7.51341,3,Home Decor & Festive Needs,5
305,-15.639292,2.8737433,-5.4923844,3,Home Decor & Festive Needs,5
306,-15.289588,-0.3115387,-11.999158,3,Home Decor & Festive Needs,5
307,-11.579755,1.4680995,-5.1562767,3,Home Decor & Festive Needs,5
308,-9.867395,-1.9078903,-6.55149,3,Home Decor & Festive Needs,5
309,-17.032274,0.37169647,-6.5392013,3,Home Decor & Festive Needs,5
310,-11.511799,10.525272,7.2381663,2,Computers,5
311,3.7390852,13.111061,-14.201603,1,Beauty and Personal Care,0
312,-12.674959,3.7418034,7.912115,2,Computers,5
313,2.7014475,13.780067,-12.311634,1,Beauty and Personal Care,0
314,2.4005377,14.636487,-17.199429,1,Beauty and Personal Care,0
315,6.9140344,8.916522,-14.840233,1,Beauty and Personal Care,0
316,3.9136431,13.646769,-13.574206,1,Beauty and Personal Care,0
317,2.8812118,8.085371,-14.310551,1,Beauty and Personal Care,0
318,-10.944641,11.106526,9.3461485,2,Computers,5
319,6.3617167,7.1810527,-12.850386,1,Beauty and Personal Care,0
320,4.500036,9.491011,-9.842026,1,Beauty and Personal Care,0
321,-13.516746,4.7287626,6.584384,2,Computers,5
322,3.7683935,7.869692,-14.194375,1,Beauty and Personal Care,0
323,-9.910713,6.295999,9.202745,2,Computers,5
324,-11.429106,7.0343237,5.0941806,2,Computers,5
325,1.286381,14.378652,-15.126067,1,Beauty and Personal Care,0
326,-10.707556,5.2547116,8.884959,2,Computers,5
327,-12.882945,6.2302785,6.674187,2,Computers,5
328,2.0034194,12.923376,-12.5179825,1,Beauty and Personal Care,0
329,-9.406333,8.31496,8.293696,2,Computers,5
330,-10.070425,10.222996,9.7124195,2,Computers,5
331,3.449422,11.662845,-13.3206005,1,Beauty and Personal Care,0
332,-11.926235,7.134269,7.5573344,2,Computers,5
333,-9.725071,7.005289,8.599302,2,Computers,5
334,3.9499304,10.396626,-10.325686,1,Beauty and Personal Care,0
